
------------------------------------------------------------------------------

tsLinesOfCode, v2.4.0 (build 07/31/2013)

  Author(s): Richard S. Gordon
  Copyright (c) 2007-2013 Richard S. Gordon.
		All rights reserved.
  GNU General Public License, Version 3, 29 June 2007

  Credits: 

	  tsLibCLI Import & Application Launch Features: 
	  Copyright (c) 2007-2009 Frederick A. Kier. 
			All rights reserved.

	  File Extension Features of SLOCCount 2.26: 
	  Copyright (c) 2001-2004 David A. Wheeler. 
			All rights reserved.

	  Algorithm Features of COCOMO(R) 81: 
	  Copyright (c) 1981 Dr. Barry W. Boehm. 
			All rights reserved.

	  Python Logging Module API Features: 
	  Copyright (c) 2001-2013 Python Software Foundation.
			All rights reserved.
	  PSF License Agreement for Python 2.7.3 & 3.3.0

------------------------------------------------------------------------------

		Individual Source Code Feature Statistics

    CODE    CMNTS    LINES    WORDS    CHARS PATH/FILE
       0      632      632     2347    24631 /cygdrive/d/WR/Technical_Preview-wxPython-2.8.9.2-Draft/tsWxGTUI_PyVx/Non-Site-Package/tsWxGTUI_PyVx/Python-2x/tsWxGTUI_Py2x/$README-tsWxGTUI_PyVx.txt
      29       18       47      103     1081 /cygdrive/d/WR/Technical_Preview-wxPython-2.8.9.2-Draft/tsWxGTUI_PyVx/Non-Site-Package/tsWxGTUI_PyVx/Python-2x/tsWxGTUI_Py2x/test_cursesOverlappingPanels.py
      40       23       63      154     1577 /cygdrive/d/WR/Technical_Preview-wxPython-2.8.9.2-Draft/tsWxGTUI_PyVx/Non-Site-Package/tsWxGTUI_PyVx/Python-2x/tsWxGTUI_Py2x/test_cursesPanels.py
     236      238      474     1174    15313 /cygdrive/d/WR/Technical_Preview-wxPython-2.8.9.2-Draft/tsWxGTUI_PyVx/Non-Site-Package/tsWxGTUI_PyVx/Python-2x/tsWxGTUI_Py2x/test_TermsAndConditions.py
     139      261      400     1502    14447 /cygdrive/d/WR/Technical_Preview-wxPython-2.8.9.2-Draft/tsWxGTUI_PyVx/Non-Site-Package/tsWxGTUI_PyVx/Python-2x/tsWxGTUI_Py2x/test_tsApplication.py
     158      310      468     1834    16710 /cygdrive/d/WR/Technical_Preview-wxPython-2.8.9.2-Draft/tsWxGTUI_PyVx/Non-Site-Package/tsWxGTUI_PyVx/Python-2x/tsWxGTUI_Py2x/test_tsCommandLineEnv.py
      88       87      175      498     5415 /cygdrive/d/WR/Technical_Preview-wxPython-2.8.9.2-Draft/tsWxGTUI_PyVx/Non-Site-Package/tsWxGTUI_PyVx/Python-2x/tsWxGTUI_Py2x/test_tsCommandLineInterface.py
      58      134      192      695     6065 /cygdrive/d/WR/Technical_Preview-wxPython-2.8.9.2-Draft/tsWxGTUI_PyVx/Non-Site-Package/tsWxGTUI_PyVx/Python-2x/tsWxGTUI_Py2x/test_tsCxGlobals.py
     419      210      629     1474    18185 /cygdrive/d/WR/Technical_Preview-wxPython-2.8.9.2-Draft/tsWxGTUI_PyVx/Non-Site-Package/tsWxGTUI_PyVx/Python-2x/tsWxGTUI_Py2x/test_tsDoubleLinkedList.py
     137      119      256      665     8182 /cygdrive/d/WR/Technical_Preview-wxPython-2.8.9.2-Draft/tsWxGTUI_PyVx/Non-Site-Package/tsWxGTUI_PyVx/Python-2x/tsWxGTUI_Py2x/test_tsExceptions.py
     343      240      583     1716    21025 /cygdrive/d/WR/Technical_Preview-wxPython-2.8.9.2-Draft/tsWxGTUI_PyVx/Non-Site-Package/tsWxGTUI_PyVx/Python-2x/tsWxGTUI_Py2x/test_tsLogger.py
     136      131      267      874     8926 /cygdrive/d/WR/Technical_Preview-wxPython-2.8.9.2-Draft/tsWxGTUI_PyVx/Non-Site-Package/tsWxGTUI_PyVx/Python-2x/tsWxGTUI_Py2x/test_tsOperatorSettingsParser.py
     267      182      449     1087    13995 /cygdrive/d/WR/Technical_Preview-wxPython-2.8.9.2-Draft/tsWxGTUI_PyVx/Non-Site-Package/tsWxGTUI_PyVx/Python-2x/tsWxGTUI_Py2x/test_tsPlatformRunTimeEnvironment.py
       0      187      187      511     7921 /cygdrive/d/WR/Technical_Preview-wxPython-2.8.9.2-Draft/tsWxGTUI_PyVx/Non-Site-Package/tsWxGTUI_PyVx/Python-2x/tsWxGTUI_Py2x/test_tsPlatformRunTimeEnvironment.txt
     187      145      332      843    11161 /cygdrive/d/WR/Technical_Preview-wxPython-2.8.9.2-Draft/tsWxGTUI_PyVx/Non-Site-Package/tsWxGTUI_PyVx/Python-2x/tsWxGTUI_Py2x/test_tsReportUtilities.py
      78      118      196      549     6448 /cygdrive/d/WR/Technical_Preview-wxPython-2.8.9.2-Draft/tsWxGTUI_PyVx/Non-Site-Package/tsWxGTUI_PyVx/Python-2x/tsWxGTUI_Py2x/test_tsSysCommand.py
      78      118      196      549     6461 /cygdrive/d/WR/Technical_Preview-wxPython-2.8.9.2-Draft/tsWxGTUI_PyVx/Non-Site-Package/tsWxGTUI_PyVx/Python-2x/tsWxGTUI_Py2x/test_tsSysCommands.py
     291      262      553     1391    16954 /cygdrive/d/WR/Technical_Preview-wxPython-2.8.9.2-Draft/tsWxGTUI_PyVx/Non-Site-Package/tsWxGTUI_PyVx/Python-2x/tsWxGTUI_Py2x/test_tsWxBoxSizer.py
     381      320      701     1740    22973 /cygdrive/d/WR/Technical_Preview-wxPython-2.8.9.2-Draft/tsWxGTUI_PyVx/Non-Site-Package/tsWxGTUI_PyVx/Python-2x/tsWxGTUI_Py2x/test_tsWxCheckBox.py
    1092      720     1812     5251    71182 /cygdrive/d/WR/Technical_Preview-wxPython-2.8.9.2-Draft/tsWxGTUI_PyVx/Non-Site-Package/tsWxGTUI_PyVx/Python-2x/tsWxGTUI_Py2x/test_tsWxColorPalette.py
     317      302      619     1470    18936 /cygdrive/d/WR/Technical_Preview-wxPython-2.8.9.2-Draft/tsWxGTUI_PyVx/Non-Site-Package/tsWxGTUI_PyVx/Python-2x/tsWxGTUI_Py2x/test_tsWxDisplay.py
     429      217      646     1493    18562 /cygdrive/d/WR/Technical_Preview-wxPython-2.8.9.2-Draft/tsWxGTUI_PyVx/Non-Site-Package/tsWxGTUI_PyVx/Python-2x/tsWxGTUI_Py2x/test_tsWxDoubleLinkedList.py
      66      146      212      727     6496 /cygdrive/d/WR/Technical_Preview-wxPython-2.8.9.2-Draft/tsWxGTUI_PyVx/Non-Site-Package/tsWxGTUI_PyVx/Python-2x/tsWxGTUI_Py2x/test_tsWxGlobals.py
    1092      717     1809     5229    71050 /cygdrive/d/WR/Technical_Preview-wxPython-2.8.9.2-Draft/tsWxGTUI_PyVx/Non-Site-Package/tsWxGTUI_PyVx/Python-2x/tsWxGTUI_Py2x/test_tsWxGraphicalTextUserInterface.py
     332      265      597     1517    19254 /cygdrive/d/WR/Technical_Preview-wxPython-2.8.9.2-Draft/tsWxGTUI_PyVx/Non-Site-Package/tsWxGTUI_PyVx/Python-2x/tsWxGTUI_Py2x/test_tsWxGridSizer.py
     302      410      712     2493    24726 /cygdrive/d/WR/Technical_Preview-wxPython-2.8.9.2-Draft/tsWxGTUI_PyVx/Non-Site-Package/tsWxGTUI_PyVx/Python-2x/tsWxGTUI_Py2x/test_tsWxMultiFrameEnv.py
     320      324      644     1630    19765 /cygdrive/d/WR/Technical_Preview-wxPython-2.8.9.2-Draft/tsWxGTUI_PyVx/Non-Site-Package/tsWxGTUI_PyVx/Python-2x/tsWxGTUI_Py2x/test_tsWxPasswordEntryDialog.py
     783      513     1296     3604    48403 /cygdrive/d/WR/Technical_Preview-wxPython-2.8.9.2-Draft/tsWxGTUI_PyVx/Non-Site-Package/tsWxGTUI_PyVx/Python-2x/tsWxGTUI_Py2x/test_tsWxRSM.py
     413      425      838     2049    27788 /cygdrive/d/WR/Technical_Preview-wxPython-2.8.9.2-Draft/tsWxGTUI_PyVx/Non-Site-Package/tsWxGTUI_PyVx/Python-2x/tsWxGTUI_Py2x/test_tsWxScrolledWindow.py
     344      546      890     2249    30060 /cygdrive/d/WR/Technical_Preview-wxPython-2.8.9.2-Draft/tsWxGTUI_PyVx/Non-Site-Package/tsWxGTUI_PyVx/Python-2x/tsWxGTUI_Py2x/test_tsWxScrolledWindowDual.py
